商店ID,门店所在城市,渠道,性别群体,年龄群体,产品类别,客户数量,销售金额,订单数量,购买的产品数量,成本,单价,利润,订单日期,星期
831,杭州,线下,女,20-24,T恤,1,59,1,1,49,59,10,2023年1月2日,星期一
831,杭州,线下,女,20-24,袜子,1,40,1,2,9,20,22,2023年1月5日,星期四
831,杭州,线下,女,<20,T恤,1,79,1,1,49,79,30,2023年1月8日,星期日
831,杭州,线下,男,30-34,T恤,1,99,1,1,49,99,50,2023年1月9日,星期一
831,杭州,线下,男,30-34,T恤,1,79,1,1,49,79,30,2023年1月9日,星期一
831,杭州,线下,女,25-29,T恤,1,199,1,1,49,199,150,2023年1月13日,星期五
831,杭州,线下,男,40-44,当季新品,1,199,1,1,59,199,140,2023年1月13日,星期五
831,杭州,线下,男,20-24,短裤,2,72,2,2,19,36,34,2023年1月14日,星期六
831,杭州,线下,女,30-34,当季新品,1,79,1,1,59,79,20,2023年1月15日,星期日
831,杭州,线下,女,45-49,T恤,1,79,1,1,49,79,30,2023年1月19日,星期四
831,杭州,线下,男,20-24,袜子,1,39,1,1,9,39,30,2023年1月22日,星期日
831,杭州,线下,女,20-24,毛衣,3,297,3,3,99,99,0,2023年1月23日,星期一
831,杭州,线下,男,20-24,短裤,1,40,1,1,19,40,21,2023年1月27日,星期五
831,杭州,线下,女,30-34,T恤,1,249,1,1,49,249,200,2023年2月2日,星期四
831,杭州,线下,男,35-39,T恤,2,115.16,2,2,49,58,17.16,2023年2月10日,星期五
831,杭州,线下,男,30-34,裙子,1,158,1,2,59,79,40,2023年2月18日,星期六
831,杭州,线下,女,30-34,T恤,1,79,1,1,49,79,30,2023年2月20日,星期一
831,杭州,线下,男,30-34,T恤,1,79,1,1,49,79,30,2023年2月23日,星期四
831,杭州,线下,女,40-44,当季新品,1,76,1,2,59,38,-42,2023年2月23日,星期四
831,杭州,线下,女,30-34,T恤,2,198,2,2,49,99,100,2023年2月24日,星期五
831,杭州,线下,女,25-29,短裤,1,33,1,1,19,33,14,2023年2月25日,星期六
831,杭州,线下,男,35-39,配件,1,99,1,1,29,99,70,2023年2月25日,星期六
831,杭州,线下,男,35-39,T恤,1,59,1,1,49,59,10,2023年2月27日,星期一
831,杭州,线下,女,30-34,配件,1,149,1,1,29,149,120,2023年3月1日,星期三
831,杭州,线下,女,30-34,当季新品,1,79,1,1,59,79,20,2023年3月1日,星期三
831,杭州,线下,女,25-29,T恤,1,79,1,1,49,79,30,2023年3月10日,星期五
831,杭州,线下,女,20-24,T恤,4,594,4,6,49,99,300,2023年3月12日,星期日
831,杭州,线下,男,20-24,运动,2,66.34,2,2,49,33,-31.66,2023年3月15日,星期三
831,杭州,线下,男,35-39,牛仔裤,1,59,1,1,69,59,-10,2023年3月16日,星期四
831,杭州,线下,男,>=60,当季新品,1,79,1,1,59,79,20,2023年3月23日,星期四
831,杭州,线下,女,35-39,T恤,1,59,1,1,49,59,10,2023年3月25日,星期六
831,杭州,线下,男,>=60,T恤,1,198,1,2,49,99,100,2023年3月29日,星期三
831,杭州,线下,女,40-44,配件,1,79,1,1,29,79,50,2023年3月29日,星期三
831,杭州,线下,男,20-24,裙子,1,41.26,1,1,59,41,-17.74,2023年3月29日,星期三
831,杭州,线下,女,45-49,毛衣,1,199,1,1,99,199,100,2023年3月30日,星期四
831,杭州,线下,女,35-39,牛仔裤,1,79,1,1,69,79,10,2023年3月31日,星期五
831,杭州,线下,女,30-34,T恤,3,217,3,3,49,72,70,2023年8月1日,星期二
831,杭州,线下,男,20-24,T恤,1,96.05,1,1,49,96,47.05,2023年8月4日,星期五
831,杭州,线下,男,30-34,T恤,1,54,1,1,49,54,5,2023年8月4日,星期五
831,杭州,线下,女,20-24,运动,1,39,1,1,49,39,-10,2023年8月5日,星期六
831,杭州,线下,女,45-49,当季新品,2,282,2,2,59,141,164,2023年8月5日,星期六
831,杭州,线下,女,30-34,短裤,1,40,1,1,19,40,21,2023年8月6日,星期日
831,杭州,线下,女,25-29,当季新品,2,292,2,2,59,146,174,2023年8月7日,星期一
831,杭州,线下,女,30-34,配件,1,79,1,1,29,79,50,2023年8月7日,星期一
831,杭州,线下,女,55-59,当季新品,1,189,1,1,59,189,130,2023年8月8日,星期二
831,杭州,线下,女,40-44,T恤,1,99,1,1,49,99,50,2023年8月8日,星期二
831,杭州,线下,男,25-29,T恤,1,198,1,2,49,99,100,2023年8月8日,星期二
831,杭州,线下,女,40-44,T恤,1,158,1,2,49,79,60,2023年8月11日,星期五
831,杭州,线下,女,25-29,T恤,1,59,1,1,49,59,10,2023年8月11日,星期五
831,杭州,线下,女,30-34,短裤,2,138,2,2,19,69,100,2023年8月12日,星期六
831,杭州,线下,女,20-24,袜子,1,38,1,2,9,19,20,2023年8月13日,星期日
831,杭州,线下,女,40-44,T恤,1,99,1,1,49,99,50,2023年8月13日,星期日
831,杭州,线下,女,20-24,运动,1,149,1,1,49,149,100,2023年8月13日,星期日
831,杭州,线下,女,25-29,T恤,1,79,1,1,49,79,30,2023年8月14日,星期一
831,杭州,线下,男,>=60,牛仔裤,1,19,1,1,69,19,-50,2023年8月14日,星期一
831,杭州,线下,男,25-29,当季新品,1,79,1,1,59,79,20,2023年8月15日,星期二
831,杭州,线下,男,30-34,袜子,1,27,1,1,9,27,18,2023年8月18日,星期五
831,杭州,线下,女,35-39,T恤,1,118,1,2,49,59,20,2023年8月18日,星期五
831,杭州,线下,男,40-44,运动,1,33,1,1,49,33,-16,2023年8月19日,星期六
831,杭州,线下,女,50-54,当季新品,1,293,2,3,59,98,116,2023年8月20日,星期日
831,杭州,线下,女,50-54,T恤,1,99,1,1,49,99,50,2023年8月21日,星期一
831,杭州,线下,女,20-24,短裤,1,40,1,1,19,40,21,2023年8月21日,星期一
831,杭州,线下,男,25-29,T恤,1,59,1,1,49,59,10,2023年8月21日,星期一
831,杭州,线下,女,35-39,T恤,2,198,2,2,49,99,100,2023年8月22日,星期二
831,杭州,线下,女,20-24,袜子,4,147,4,6,9,25,93,2023年8月25日,星期五
831,杭州,线下,女,40-44,袜子,1,78,1,1,9,78,69,2023年8月25日,星期五
831,杭州,线下,女,20-24,配件,7,673,7,7,29,96,470,2023年8月25日,星期五
831,杭州,线下,男,25-29,T恤,2,297,2,3,49,99,150,2023年8月26日,星期六
831,杭州,线下,男,25-29,牛仔裤,1,199,1,1,69,199,130,2023年8月27日,星期日
831,杭州,线下,男,25-29,毛衣,1,249,1,1,99,249,150,2023年8月27日,星期日
831,杭州,线下,男,<20,配件,1,199,1,1,29,199,170,2023年8月29日,星期二
831,杭州,线下,女,30-34,袜子,1,49,1,1,9,49,40,2023年8月29日,星期二
831,杭州,线下,男,35-39,T恤,1,79,1,1,49,79,30,2023年8月1日,星期二
831,杭州,线下,女,<20,T恤,1,99,1,1,49,99,50,2023年8月1日,星期二
831,杭州,线下,男,35-39,T恤,1,99,1,1,49,99,50,2023年8月1日,星期二
831,杭州,线下,女,50-54,T恤,1,99,1,1,49,99,50,2023年8月4日,星期五
831,杭州,线下,女,25-29,T恤,1,99,1,1,49,99,50,2023年8月4日,星期五
831,杭州,线下,女,30-34,T恤,1,79,1,1,49,79,30,2023年8月5日,星期六
831,杭州,线下,男,35-39,牛仔裤,1,199,1,1,69,199,130,2023年8月5日,星期六
831,杭州,线下,女,20-24,T恤,1,79,1,1,49,79,30,2023年8月6日,星期日
831,杭州,线下,男,35-39,T恤,1,39,1,1,49,39,-10,2023年8月7日,星期一
831,杭州,线下,男,25-29,毛衣,2,298,2,2,99,149,100,2023年8月8日,星期二
831,杭州,线下,男,>=60,T恤,1,59,1,1,49,59,10,2023年8月8日,星期二
831,杭州,线下,男,>=60,裙子,2,158,2,2,59,79,40,2023年8月8日,星期二
831,杭州,线下,男,25-29,袜子,1,26,1,1,9,26,17,2023年8月8日,星期二
